Specimen_AllReader_Record No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     
12:07:26.473                  0.3677                        0.0349                        0.279                         
12:07:26.568                  0.3676                        0.0351                        0.28                          
12:07:26.680                  0.3676                        0.0352                        0.28                          
12:07:26.792                  0.3678                        0.0351                        0.28                          
12:07:26.888                  0.368                         0.0351                        0.28                          
12:07:27.001                  0.3683                        0.0352                        0.279                         
12:07:27.113                  0.3685                        0.0352                        0.279                         
12:07:27.209                  0.3686                        0.0352                        0.28                          
12:07:27.352                  0.3685                        0.035                         0.279                         
12:07:27.432                  0.3684                        0.0351                        0.279                         
12:07:27.544                  0.3682                        0.0351                        0.279                         
12:07:27.672                  0.3682                        0.035                         0.279                         
12:07:27.784                  0.3681                        0.035                         0.28                          
12:07:27.880                  0.368                         0.0349                        0.279                         
12:07:27.993                  0.368                         0.035                         0.279                         
12:07:28.104                  0.368                         0.0351                        0.279                         
12:07:28.232                  0.3678                        0.0351                        0.28                          
12:07:28.313                  0.3675                        0.035                         0.28                          
12:07:28.456                  0.3674                        0.035                         0.28                          
12:07:28.552                  0.3674                        0.0351                        0.28                          
12:07:28.664                  0.3675                        0.0351                        0.279                         
12:07:28.776                  0.3678                        0.0351                        0.279                         
12:07:28.872                  0.3681                        0.0351                        0.28                          
12:07:28.984                  0.3685                        0.0353                        0.279                         
12:07:29.096                  0.3687                        0.0353                        0.28                          
12:07:29.224                  0.3688                        0.0353                        0.28                          
12:07:29.304                  0.3687                        0.0352                        0.279                         
12:07:29.432                  0.3685                        0.0351                        0.28                          
12:07:29.544                  0.3684                        0.035                         0.279                         
12:07:29.656                  0.3684                        0.0349                        0.28                          
12:07:29.752                  0.3684                        0.0348                        0.279                         
12:07:29.863                  0.3684                        0.0346                        0.28                          
12:07:29.976                  0.3686                        0.0345                        0.279                         
12:07:30.072                  0.3688                        0.0345                        0.28                          
12:07:30.216                  0.3688                        0.0344                        0.28                          
12:07:30.296                  0.3687                        0.0343                        0.279                         
12:07:30.408                  0.3687                        0.0344                        0.28                          
12:07:30.536                  0.3685                        0.0345                        0.279                         
12:07:30.615                  0.3683                        0.0346                        0.279                         
12:07:30.727                  0.3681                        0.0347                        0.279                         
12:07:30.823                  0.368                         0.0348                        0.279                         
12:07:30.968                  0.368                         0.035                         0.28                          
12:07:31.047                  0.3681                        0.0351                        0.279                         
12:07:31.175                  0.3681                        0.0352                        0.279                         
12:07:31.287                  0.3682                        0.0353                        0.279                         
12:07:31.415                  0.3683                        0.0354                        0.28                          
12:07:31.495                  0.3682                        0.0354                        0.279                         
12:07:31.607                  0.368                         0.0354                        0.279                         
12:07:31.735                  0.3678                        0.0354                        0.279                         
12:07:31.898                  0.3677                        0.0353                        0.279                         
12:07:32.008                  0.3677                        0.0352                        0.279                         
12:07:32.119                  0.3678                        0.035                         0.28                          
12:07:32.215                  0.3679                        0.0349                        0.279                         
12:07:32.327                  0.3681                        0.0347                        0.279                         
12:07:32.440                  0.3682                        0.0346                        0.28                          
12:07:32.551                  0.3682                        0.0346                        0.279                         
12:07:32.679                  0.3682                        0.0345                        0.28                          
12:07:32.758                  0.3683                        0.0346                        0.28                          
12:07:32.871                  0.3683                        0.0347                        0.28                          
12:07:32.998                  0.3683                        0.0348                        0.28                          
12:07:33.079                  0.3684                        0.0349                        0.279                         
12:07:33.191                  0.3687                        0.035                         0.279                         
12:07:33.323                  0.3688                        0.0351                        0.279                         
12:07:33.430                  0.3689                        0.0351                        0.279                         
12:07:33.511                  0.3691                        0.0349                        0.279                         
12:07:33.639                  0.3692                        0.0348                        0.279                         
12:07:33.751                  0.3692                        0.0346                        0.279                         
12:07:33.847                  0.369                         0.0344                        0.279                         
12:07:33.959                  0.3689                        0.0343                        0.279                         
12:07:34.073                  0.3688                        0.0343                        0.279                         
12:07:34.183                  0.3684                        0.0344                        0.279                         
12:07:34.329                  0.3681                        0.0345                        0.279                         
12:07:34.439                  0.368                         0.0347                        0.279                         
12:07:34.565                  0.3679                        0.0349                        0.28                          
12:07:34.695                  0.368                         0.035                         0.28                          
12:07:34.792                  0.3681                        0.0352                        0.28                          
12:07:34.907                  0.3682                        0.0353                        0.28                          
12:07:35.017                  0.3683                        0.0353                        0.28                          
12:07:35.143                  0.3683                        0.0354                        0.279                         
12:07:35.223                  0.3681                        0.0353                        0.279                         
12:07:35.334                  0.3681                        0.0354                        0.279                         
12:07:35.462                  0.3681                        0.0354                        0.28                          
