Specimen_AllReader_Record19 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     R3 T (N��m),                  ID:4 R4 (X)                   ID:4 R4 (Y)                   ID:6 R5 (X)                   ID:6 R5 (Y)                   ID:7 R6 (X)                   ID:7 R6 (Y)                   ID:8 R7 (X)                   ID:8 R7 (Y)                   ID:2 R8 (X)                   ID:2 R8 (Y)                   
14:38:50.618                  1.5976                        -0.1996                       0.298                         0                             -1.6533                       -16.8608                      1.6002                        -2.2563                       0.5086                        -1.6576                       0.6763                        -3.5153                       2.7841                        0.7244                        
14:38:51.626                  1.5977                        -0.2007                       0.298                         0                             -1.6535                       -16.8595                      1.5994                        -2.2568                       0.5078                        -1.6566                       0.677                         -3.5149                       2.7829                        0.7255                        
14:38:52.598                  1.5983                        -0.1999                       0.298                         0                             -1.6553                       -16.8594                      1.6002                        -2.2563                       0.5077                        -1.6578                       0.6761                        -3.5168                       2.7833                        0.7262                        
14:38:53.592                  1.5971                        -0.2004                       0.298                         0                             -1.6537                       -16.8603                      1.6006                        -2.258                        0.5083                        -1.6571                       0.6758                        -3.5148                       2.7824                        0.7258                        
14:38:54.596                  1.5979                        -0.2005                       0.299                         0                             -1.6533                       -16.8604                      1.5999                        -2.2569                       0.5083                        -1.6565                       0.6762                        -3.5152                       2.7837                        0.7254                        
14:38:55.602                  1.5977                        -0.1994                       0.298                         0                             -1.6539                       -16.8601                      1.6006                        -2.2565                       0.5077                        -1.6554                       0.6758                        -3.5159                       2.7825                        0.7258                        
14:38:56.631                  1.5977                        -0.2005                       0.299                         0                             -1.654                        -16.8596                      1.5991                        -2.2562                       0.508                         -1.6574                       0.6758                        -3.5164                       2.7837                        0.725                         
14:38:57.633                  1.5967                        -0.2                          0.299                         0                             -1.6543                       -16.8603                      1.5998                        -2.2579                       0.5067                        -1.6569                       0.6756                        -3.5157                       2.7828                        0.7259                        
14:38:58.659                  1.5978                        -0.2002                       0.299                         0                             -1.6541                       -16.8607                      1.5999                        -2.2566                       0.509                         -1.6569                       0.6765                        -3.5154                       2.7821                        0.726                         
14:38:59.667                  1.5971                        -0.1996                       0.299                         0                             -1.6547                       -16.8591                      1.5995                        -2.2561                       0.5076                        -1.6569                       0.6763                        -3.5166                       2.7824                        0.725                         
14:39:00.673                  1.5956                        -0.1997                       0.298                         0                             -1.6549                       -16.8594                      1.5996                        -2.2573                       0.5078                        -1.6575                       0.6764                        -3.5162                       2.7814                        0.7254                        
14:39:01.682                  1.5948                        -0.1992                       0.298                         0                             -1.6553                       -16.8605                      1.5998                        -2.2583                       0.5082                        -1.6573                       0.6768                        -3.5156                       2.7811                        0.7236                        
14:39:02.669                  1.5972                        -0.1994                       0.299                         0                             -1.6537                       -16.8608                      1.5994                        -2.2559                       0.5086                        -1.6566                       0.6759                        -3.5164                       2.7819                        0.7243                        
14:39:03.696                  1.5967                        -0.1995                       0.299                         0                             -1.6538                       -16.8596                      1.5998                        -2.2564                       0.508                         -1.6583                       0.6765                        -3.5153                       2.7837                        0.7251                        
14:39:04.700                  1.5969                        -0.1999                       0.299                         0                             -1.6536                       -16.8602                      1.6004                        -2.2563                       0.5088                        -1.6584                       0.6767                        -3.5158                       2.7831                        0.7254                        
14:39:05.005                  1.597                         -0.1998                       0.299                         0                             -1.6536                       -16.8609                      1.6004                        -2.2565                       0.5085                        -1.6579                       0.6762                        -3.5154                       2.7827                        0.7249                        
14:39:05.344                  1.5969                        -0.1997                       0.299                         0                             -1.6533                       -16.861                       1.6001                        -2.2572                       0.5083                        -1.6577                       0.6759                        -3.5151                       2.7826                        0.7246                        
14:39:05.629                  1.5972                        -0.2001                       0.299                         0                             -1.6529                       -16.8608                      1.6                           -2.2572                       0.5087                        -1.6576                       0.6762                        -3.5148                       2.7825                        0.7249                        
14:39:05.899                  1.5976                        -0.2006                       0.299                         0                             -1.6532                       -16.8605                      1.6004                        -2.2568                       0.5091                        -1.6574                       0.6762                        -3.5146                       2.7822                        0.7252                        
14:39:06.170                  1.5976                        -0.2006                       0.299                         0                             -1.6534                       -16.8595                      1.6006                        -2.2563                       0.5092                        -1.6572                       0.6756                        -3.5146                       2.7823                        0.7257                        
14:39:06.443                  1.5975                        -0.2004                       0.299                         0                             -1.6529                       -16.8591                      1.6002                        -2.2562                       0.509                         -1.657                        0.6756                        -3.5146                       2.7828                        0.7261                        
14:39:06.731                  1.5977                        -0.2007                       0.299                         0                             -1.6523                       -16.8591                      1.5994                        -2.2565                       0.5083                        -1.6567                       0.6761                        -3.5149                       2.7827                        0.726                         
14:39:07.007                  1.5978                        -0.2013                       0.299                         0                             -1.6525                       -16.859                       1.5993                        -2.2567                       0.5077                        -1.6564                       0.677                         -3.5153                       2.7822                        0.7257                        
14:39:07.275                  1.5977                        -0.2015                       0.299                         0                             -1.6533                       -16.8588                      1.5997                        -2.2567                       0.5073                        -1.6563                       0.6773                        -3.5159                       2.7824                        0.7257                        
14:39:07.583                  1.5971                        -0.2009                       0.298                         0                             -1.654                        -16.8591                      1.5997                        -2.2561                       0.5076                        -1.6565                       0.6772                        -3.5162                       2.7829                        0.726                         
14:39:07.864                  1.5966                        -0.2003                       0.299                         0                             -1.6542                       -16.8594                      1.5994                        -2.2561                       0.5084                        -1.6575                       0.6767                        -3.5158                       2.783                         0.726                         
14:39:08.150                  1.5969                        -0.1995                       0.299                         0                             -1.6542                       -16.8595                      1.599                         -2.2565                       0.5086                        -1.6579                       0.6765                        -3.5154                       2.7827                        0.7256                        
14:39:08.458                  1.597                         -0.1987                       0.299                         0                             -1.6541                       -16.8596                      1.5985                        -2.2569                       0.5077                        -1.6568                       0.6769                        -3.515                        2.7824                        0.7251                        
14:39:08.730                  1.5968                        -0.1982                       0.299                         0                             -1.654                        -16.8599                      1.5987                        -2.2569                       0.507                         -1.6564                       0.677                         -3.5148                       2.7823                        0.7251                        
14:39:09.003                  1.5965                        -0.1986                       0.299                         0                             -1.6541                       -16.8594                      1.5989                        -2.2566                       0.507                         -1.6566                       0.6772                        -3.5144                       2.7826                        0.7251                        
14:39:09.271                  1.5965                        -0.199                        0.299                         0                             -1.6542                       -16.8591                      1.5992                        -2.2567                       0.5077                        -1.6575                       0.6776                        -3.5142                       2.7824                        0.7253                        
14:39:09.560                  1.597                         -0.1991                       0.299                         0                             -1.6543                       -16.8595                      1.5996                        -2.257                        0.5081                        -1.6574                       0.6776                        -3.5142                       2.7818                        0.7257                        
14:39:09.833                  1.5974                        -0.1994                       0.298                         0                             -1.6547                       -16.8599                      1.5999                        -2.257                        0.5081                        -1.6565                       0.6773                        -3.5146                       2.7816                        0.726                         
14:39:10.109                  1.5976                        -0.2002                       0.299                         0                             -1.6548                       -16.86                        1.6                           -2.2569                       0.5082                        -1.6561                       0.6766                        -3.5152                       2.782                         0.7262                        
14:39:10.390                  1.5976                        -0.2005                       0.299                         0                             -1.6545                       -16.86                        1.5996                        -2.2562                       0.5081                        -1.6568                       0.6765                        -3.5154                       2.7826                        0.7262                        
14:39:10.668                  1.5974                        -0.2002                       0.298                         0                             -1.654                        -16.8596                      1.5992                        -2.2556                       0.5081                        -1.6578                       0.6766                        -3.5153                       2.7825                        0.7262                        
14:39:10.956                  1.5972                        -0.1998                       0.299                         0                             -1.6541                       -16.8591                      1.5987                        -2.2556                       0.5082                        -1.6577                       0.6766                        -3.5147                       2.782                         0.7261                        
14:39:11.222                  1.5972                        -0.1996                       0.299                         0                             -1.6546                       -16.8589                      1.5986                        -2.256                        0.5084                        -1.6568                       0.6763                        -3.5143                       2.7816                        0.726                         
14:39:11.496                  1.5974                        -0.1998                       0.299                         0                             -1.6549                       -16.8592                      1.5989                        -2.2566                       0.5081                        -1.6563                       0.676                         -3.5144                       2.7815                        0.7261                        
14:39:11.771                  1.5974                        -0.2002                       0.299                         0                             -1.6545                       -16.8595                      1.5992                        -2.2569                       0.5078                        -1.6566                       0.6758                        -3.515                        2.7817                        0.7261                        
14:39:12.077                  1.5969                        -0.2006                       0.299                         0                             -1.6537                       -16.8596                      1.5996                        -2.2567                       0.5076                        -1.6571                       0.6758                        -3.5156                       2.7817                        0.7258                        
14:39:12.380                  1.5968                        -0.2006                       0.298                         0                             -1.6535                       -16.8596                      1.6                           -2.2561                       0.5074                        -1.6569                       0.676                         -3.5157                       2.782                         0.7258                        
14:39:12.666                  1.5969                        -0.2002                       0.299                         0                             -1.6543                       -16.8596                      1.6003                        -2.256                        0.5074                        -1.6562                       0.6766                        -3.5155                       2.7828                        0.7258                        
14:39:12.954                  1.5968                        -0.1994                       0.298                         0                             -1.6551                       -16.8601                      1.6003                        -2.2563                       0.5079                        -1.656                        0.677                         -3.5152                       2.7834                        0.7256                        
14:39:13.227                  1.5966                        -0.1988                       0.299                         0                             -1.6551                       -16.8605                      1.6002                        -2.2568                       0.5079                        -1.6565                       0.6769                        -3.5152                       2.7832                        0.7257                        
14:39:13.532                  1.5968                        -0.1987                       0.299                         0                             -1.6543                       -16.8602                      1.6                           -2.2569                       0.5077                        -1.6571                       0.6768                        -3.5153                       2.7824                        0.7257                        
14:39:14.137                  1.5974                        -0.1997                       0.299                         0                             -1.6542                       -16.8596                      1.5996                        -2.2566                       0.5078                        -1.6572                       0.6767                        -3.5154                       2.7814                        0.726                         
14:39:14.422                  1.5979                        -0.2004                       0.299                         0                             -1.655                        -16.8599                      1.5998                        -2.2561                       0.5077                        -1.6566                       0.6767                        -3.5158                       2.7812                        0.7263                        
14:39:14.692                  1.5977                        -0.1997                       0.299                         0                             -1.6554                       -16.86                        1.6002                        -2.2563                       0.5074                        -1.6565                       0.6769                        -3.516                        2.7813                        0.7262                        
14:39:14.963                  1.5972                        -0.1995                       0.299                         0                             -1.6558                       -16.86                        1.6006                        -2.2564                       0.5072                        -1.6568                       0.6767                        -3.5158                       2.7817                        0.7259                        
14:39:15.251                  1.5967                        -0.1996                       0.299                         0                             -1.6556                       -16.8601                      1.6005                        -2.2561                       0.507                         -1.6574                       0.6761                        -3.5151                       2.782                         0.7253                        
14:39:15.523                  1.5966                        -0.2001                       0.299                         0                             -1.6551                       -16.8603                      1.6002                        -2.2559                       0.507                         -1.658                        0.6761                        -3.5149                       2.7821                        0.7249                        
14:39:15.797                  1.5967                        -0.2007                       0.299                         0                             -1.6544                       -16.8603                      1.6002                        -2.2562                       0.5074                        -1.6581                       0.6762                        -3.5152                       2.782                         0.7249                        
14:39:16.084                  1.5967                        -0.2012                       0.299                         0                             -1.6538                       -16.8604                      1.6001                        -2.2566                       0.5077                        -1.6577                       0.6764                        -3.5152                       2.782                         0.7248                        
14:39:16.355                  1.5968                        -0.2012                       0.299                         0                             -1.6535                       -16.8605                      1.5999                        -2.2569                       0.5078                        -1.6575                       0.6764                        -3.5148                       2.7818                        0.7245                        
14:39:16.628                  1.5962                        -0.201                        0.299                         0                             -1.6532                       -16.8603                      1.5996                        -2.2567                       0.5078                        -1.6575                       0.6765                        -3.5146                       2.7814                        0.7242                        
14:39:16.914                  1.5959                        -0.2003                       0.298                         0                             -1.6534                       -16.8601                      1.5996                        -2.2566                       0.5079                        -1.6576                       0.6769                        -3.5146                       2.7815                        0.7242                        
14:39:17.190                  1.5963                        -0.1994                       0.299                         0                             -1.6537                       -16.8595                      1.5996                        -2.2563                       0.5079                        -1.6572                       0.6771                        -3.5149                       2.7819                        0.7247                        
14:39:17.464                  1.597                         -0.1987                       0.299                         0                             -1.6536                       -16.8593                      1.5995                        -2.2564                       0.508                         -1.6566                       0.6772                        -3.5155                       2.782                         0.7252                        
14:39:17.751                  1.5968                        -0.1987                       0.299                         0                             -1.6537                       -16.8596                      1.5996                        -2.2567                       0.5079                        -1.656                        0.6774                        -3.5157                       2.7819                        0.7254                        
14:39:18.023                  1.5966                        -0.1987                       0.299                         0                             -1.6541                       -16.8603                      1.5998                        -2.2571                       0.5072                        -1.6558                       0.6776                        -3.5154                       2.782                         0.7256                        
14:39:18.292                  1.5968                        -0.1991                       0.299                         0                             -1.6544                       -16.8608                      1.5995                        -2.2571                       0.5063                        -1.6558                       0.6778                        -3.5151                       2.7818                        0.7262                        
14:39:18.583                  1.5977                        -0.199                        0.299                         0                             -1.6545                       -16.8612                      1.5989                        -2.2563                       0.5061                        -1.6559                       0.6774                        -3.5149                       2.7821                        0.7264                        
14:39:18.848                  1.5981                        -0.1991                       0.299                         0                             -1.6547                       -16.8612                      1.5984                        -2.2557                       0.5068                        -1.6562                       0.6764                        -3.5147                       2.7827                        0.7264                        
14:39:19.152                  1.5977                        -0.1997                       0.298                         0                             -1.6549                       -16.8605                      1.5984                        -2.2557                       0.5072                        -1.6567                       0.6755                        -3.5147                       2.7829                        0.7268                        
14:39:19.440                  1.5968                        -0.1999                       0.299                         0                             -1.6549                       -16.8598                      1.5988                        -2.2556                       0.5075                        -1.6567                       0.6756                        -3.5149                       2.7826                        0.7266                        
14:39:19.717                  1.5965                        -0.1996                       0.298                         0                             -1.6545                       -16.8596                      1.599                         -2.2556                       0.5078                        -1.6562                       0.6765                        -3.5151                       2.7821                        0.726                         
14:39:19.989                  1.5966                        -0.1995                       0.299                         0                             -1.6539                       -16.8599                      1.5988                        -2.2561                       0.5078                        -1.656                        0.6771                        -3.5151                       2.7819                        0.7259                        
14:39:20.270                  1.5967                        -0.1998                       0.299                         0                             -1.6536                       -16.8605                      1.5991                        -2.2566                       0.5079                        -1.6564                       0.6771                        -3.5149                       2.7815                        0.7262                        
14:39:20.548                  1.5962                        -0.1997                       0.298                         0                             -1.6535                       -16.8607                      1.5996                        -2.2567                       0.508                         -1.6563                       0.6764                        -3.5142                       2.7815                        0.7262                        
14:39:20.853                  1.5959                        -0.199                        0.298                         0                             -1.6538                       -16.8606                      1.5999                        -2.2567                       0.5082                        -1.656                        0.6758                        -3.5143                       2.7816                        0.7261                        
14:39:21.119                  1.5962                        -0.1984                       0.299                         0                             -1.6536                       -16.8605                      1.5995                        -2.2567                       0.5081                        -1.6562                       0.6757                        -3.515                        2.7819                        0.7261                        
14:39:21.406                  1.5961                        -0.1983                       0.299                         0                             -1.6537                       -16.8601                      1.5991                        -2.2568                       0.5081                        -1.6567                       0.6763                        -3.5156                       2.7822                        0.7258                        
14:39:21.684                  1.5961                        -0.1989                       0.299                         0                             -1.6539                       -16.8599                      1.5995                        -2.2567                       0.5084                        -1.657                        0.6767                        -3.5154                       2.7818                        0.7257                        
