Specimen_AllReader_Record23 No ,  

Time (h.m.s.ms),              R1 T (N��m),                  
14:45:27.752                  0                             
14:45:28.761                  0                             
14:45:29.767                  0                             
14:45:30.794                  0                             
14:45:31.803                  0                             
14:45:32.804                  0                             
14:45:33.812                  0                             
14:45:34.821                  0                             
14:45:35.825                  0                             
14:45:36.835                  0                             
14:45:37.844                  0                             
14:45:38.850                  0                             
14:45:39.860                  0                             
14:45:40.864                  0                             
14:45:41.872                  0                             
14:45:42.878                  0                             
14:45:43.906                  0                             
14:45:44.924                  0                             
14:45:45.916                  0                             
14:45:46.931                  0                             
14:45:47.930                  0                             
14:45:48.936                  0                             
14:45:49.947                  0                             
14:45:50.958                  0                             
14:45:51.959                  0                             
14:45:52.973                  0                             
14:45:53.976                  0                             
14:45:54.981                  0                             
14:45:56.011                  0                             
14:45:57.010                  0                             
14:45:58.018                  0                             
14:45:59.035                  0                             
14:46:00.056                  0                             
14:46:01.043                  0                             
14:46:02.055                  0                             
14:46:03.058                  0                             
14:46:04.082                  0                             
14:46:05.091                  0                             
14:46:06.097                  0                             
14:46:07.105                  0                             
14:46:08.139                  0                             
14:46:09.136                  0                             
14:46:10.158                  0                             
14:46:11.182                  0                             
14:46:12.190                  0                             
14:46:13.194                  0                             
14:46:14.200                  0                             
14:46:15.217                  0                             
14:46:16.233                  0                             
14:46:17.261                  0                             
14:46:18.255                  0                             
14:46:19.271                  0                             
14:46:20.275                  0                             
14:46:21.287                  0                             
14:46:22.289                  0                             
14:46:23.304                  0                             
14:46:24.328                  0                             
14:46:25.334                  0                             
14:46:26.336                  0                             
14:46:27.349                  0                             
14:46:28.350                  0                             
14:46:29.369                  0                             
14:46:30.365                  0                             
14:46:31.377                  0                             
14:46:32.387                  0                             
14:46:33.390                  0                             
14:46:34.401                  0                             
14:46:35.402                  0                             
14:46:36.427                  0                             
14:46:37.439                  0                             
14:46:38.440                  0                             
14:46:39.447                  0                             
14:46:40.477                  0                             
14:46:41.466                  0                             
14:46:42.470                  0                             
14:46:43.477                  0                             
14:46:44.487                  0                             
14:46:45.494                  0                             
14:46:46.504                  0                             
14:46:47.526                  0                             
14:46:48.518                  0                             
14:46:49.538                  0                             
14:46:50.545                  0                             
14:46:51.542                  0                             
14:46:52.543                  0                             
14:46:53.557                  0                             
14:46:54.581                  0                             
14:46:55.588                  0                             
14:46:56.591                  0                             
14:46:57.603                  0                             
14:46:58.604                  0                             
14:46:59.617                  0                             
14:47:00.618                  0                             
14:47:01.648                  0                             
14:47:02.650                  0                             
14:47:03.660                  0                             
14:47:04.666                  0                             
14:47:05.673                  0                             
14:47:06.683                  0                             
14:47:07.707                  0                             
14:47:08.712                  0                             
