Specimen_AllReader_Record460 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     
12:11:12.916                  0.3682                        0.0358                        0.279                         
12:11:13.044                  0.3682                        0.0358                        0.279                         
12:11:13.124                  0.3683                        0.0358                        0.28                          
12:11:13.235                  0.3685                        0.0358                        0.279                         
12:11:13.331                  0.3686                        0.0358                        0.279                         
12:11:13.443                  0.3688                        0.0356                        0.279                         
12:11:13.555                  0.3689                        0.0353                        0.279                         
12:11:13.652                  0.369                         0.0352                        0.279                         
12:11:13.763                  0.369                         0.035                         0.279                         
12:11:13.875                  0.369                         0.0349                        0.279                         
12:11:13.956                  0.3689                        0.0348                        0.28                          
12:11:14.083                  0.3688                        0.0349                        0.28                          
12:11:14.196                  0.3687                        0.0351                        0.279                         
12:11:14.307                  0.3687                        0.0353                        0.279                         
12:11:14.403                  0.3688                        0.0355                        0.279                         
12:11:14.515                  0.3689                        0.0358                        0.28                          
12:11:14.628                  0.369                         0.0359                        0.279                         
12:11:14.755                  0.369                         0.0359                        0.279                         
12:11:14.835                  0.369                         0.0358                        0.279                         
12:11:14.947                  0.369                         0.0358                        0.279                         
12:11:15.075                  0.3689                        0.0356                        0.279                         
12:11:15.155                  0.3687                        0.0354                        0.279                         
12:11:15.267                  0.3687                        0.0352                        0.279                         
12:11:15.394                  0.3686                        0.0352                        0.279                         
12:11:15.474                  0.3687                        0.0352                        0.279                         
12:11:15.603                  0.3689                        0.035                         0.279                         
12:11:15.716                  0.3691                        0.035                         0.279                         
12:11:15.827                  0.3692                        0.035                         0.279                         
12:11:15.939                  0.3693                        0.035                         0.279                         
12:11:16.035                  0.3693                        0.035                         0.279                         
12:11:16.147                  0.3692                        0.035                         0.279                         
12:11:16.259                  0.3691                        0.0351                        0.279                         
12:11:16.387                  0.3688                        0.0354                        0.279                         
12:11:16.467                  0.3686                        0.0354                        0.279                         
12:11:16.579                  0.3683                        0.0354                        0.279                         
12:11:16.707                  0.3681                        0.0357                        0.279                         
12:11:16.787                  0.3679                        0.0357                        0.279                         
12:11:16.915                  0.3677                        0.0357                        0.279                         
12:11:17.026                  0.3677                        0.0356                        0.279                         
12:11:17.139                  0.3677                        0.0356                        0.28                          
12:11:17.235                  0.3677                        0.0357                        0.279                         
12:11:17.346                  0.3677                        0.0356                        0.279                         
12:11:17.459                  0.3678                        0.0355                        0.279                         
12:11:17.571                  0.3677                        0.0356                        0.279                         
12:11:17.698                  0.3676                        0.0356                        0.279                         
12:11:17.778                  0.3675                        0.0355                        0.279                         
12:11:17.891                  0.3675                        0.0354                        0.28                          
12:11:18.019                  0.3673                        0.0353                        0.279                         
12:11:18.099                  0.3673                        0.0351                        0.279                         
12:11:18.227                  0.3672                        0.0348                        0.279                         
12:11:18.338                  0.3672                        0.0346                        0.279                         
12:11:18.418                  0.3672                        0.0344                        0.279                         
12:11:18.530                  0.3673                        0.0343                        0.279                         
12:11:18.658                  0.3674                        0.0342                        0.279                         
12:11:18.770                  0.3674                        0.0343                        0.279                         
12:11:18.851                  0.3676                        0.0344                        0.279                         
12:11:18.978                  0.3676                        0.0346                        0.279                         
12:11:19.058                  0.3676                        0.0348                        0.279                         
12:11:19.170                  0.3675                        0.0348                        0.279                         
