Specimen_AllReader_Record8 No ,  

Time (h.m.s.ms),              ID:0 R5 (X)                   ID:0 R5 (Y)                   R6 D (cm)                     R7 T (N·m),                   
12:28:08.856                  0.363                         -0.0457                       0.288                         0                             
12:28:09.832                  0.3628                        -0.0454                       0.288                         0                             
12:28:10.854                  0.362                         -0.0448                       0.288                         0                             
12:28:11.862                  0.3634                        -0.0451                       0.288                         0                             
12:28:12.885                  0.3614                        -0.0453                       0.288                         0                             
12:28:13.892                  0.3622                        -0.0445                       0.288                         0                             
12:28:14.900                  0.3611                        -0.0461                       0.288                         0                             
12:28:15.923                  0.3615                        -0.0461                       0.288                         0                             
12:28:16.931                  0.3621                        -0.0457                       0.288                         0                             
12:28:17.938                  0.362                         -0.0457                       0.288                         0                             
12:28:18.962                  0.3626                        -0.0444                       0.289                         0                             
12:28:19.969                  0.3621                        -0.0443                       0.289                         0                             
12:28:20.976                  0.3618                        -0.0452                       0.289                         0                             
12:28:22.000                  0.3617                        -0.0455                       0.288                         0                             
12:28:23.006                  0.3624                        -0.0461                       0.288                         0                             
12:28:24.015                  0.3621                        -0.0448                       0.288                         0                             
