Specimen_Reader1_Record2 No Reader1,  

Time (h.m.s.ms)ID:0 R1 (X)                   ID:0 R1 (Y)                   
10:56:11.167                  0.3689                        0.0373                        
10:56:11.278                  0.3689                        0.037                         
10:56:11.374                  0.3691                        0.0366                        
10:56:11.487                  0.3692                        0.0362                        
10:56:11.584                  0.3692                        0.0361                        
10:56:11.695                  0.3692                        0.0362                        
10:56:11.806                  0.3691                        0.0364                        
10:56:11.920                  0.369                         0.0366                        
10:56:12.038                  0.3689                        0.0368                        
10:56:12.142                  0.3689                        0.037                         
10:56:12.238                  0.3688                        0.0372                        
10:56:12.334                  0.3687                        0.0371                        
10:56:12.462                  0.3685                        0.037                         
10:56:12.574                  0.3685                        0.037                         
10:56:12.686                  0.3682                        0.0369                        
10:56:12.799                  0.368                         0.0368                        
10:56:12.910                  0.3678                        0.0368                        
10:56:13.021                  0.3677                        0.0368                        
10:56:13.133                  0.3677                        0.0368                        
10:56:13.229                  0.3676                        0.0367                        
10:56:13.426                  0.3676                        0.0367                        
10:56:13.470                  0.3676                        0.0367                        
10:56:13.582                  0.3676                        0.0367                        
10:56:13.694                  0.3678                        0.0367                        
10:56:13.789                  0.3678                        0.0366                        
10:56:13.902                  0.3679                        0.0367                        
10:56:14.016                  0.368                         0.0368                        
10:56:14.125                  0.3681                        0.0368                        
10:56:14.237                  0.3682                        0.0368                        
10:56:14.350                  0.3683                        0.0369                        
10:56:14.461                  0.3684                        0.0369                        
10:56:14.558                  0.3685                        0.0369                        
10:56:14.685                  0.3687                        0.0369                        
10:56:14.781                  0.3689                        0.0368                        
10:56:14.893                  0.3691                        0.0368                        
10:56:15.005                  0.3693                        0.0368                        
10:56:15.117                  0.3695                        0.0368                        
10:56:15.229                  0.3695                        0.0369                        
10:56:15.341                  0.3695                        0.0371                        
10:56:15.454                  0.3694                        0.0374                        
10:56:15.589                  0.369                         0.0377                        
10:56:15.709                  0.3687                        0.0378                        
10:56:15.821                  0.3684                        0.0379                        
10:56:15.917                  0.3683                        0.0377                        
10:56:16.029                  0.3681                        0.0374                        
10:56:16.141                  0.3679                        0.0371                        
10:56:16.253                  0.3679                        0.0368                        
10:56:16.366                  0.3678                        0.0364                        
10:56:16.477                  0.3679                        0.0361                        
10:56:16.588                  0.3679                        0.036                         
10:56:16.686                  0.368                         0.036                         
10:56:16.796                  0.3683                        0.036                         
10:56:16.908                  0.3685                        0.0361                        
10:56:17.021                  0.3689                        0.0362                        
10:56:17.133                  0.3689                        0.0364                        
10:56:17.245                  0.3691                        0.0365                        
10:56:17.357                  0.3691                        0.0365                        
10:56:17.470                  0.3691                        0.0365                        
10:56:17.581                  0.369                         0.0365                        
10:56:17.677                  0.3689                        0.0364                        
10:56:17.789                  0.369                         0.0362                        
10:56:17.900                  0.369                         0.036                         
10:56:18.012                  0.3691                        0.0358                        
10:56:18.124                  0.3693                        0.0357                        
10:56:18.220                  0.3695                        0.0356                        
10:56:18.334                  0.3697                        0.0357                        
10:56:18.444                  0.3697                        0.0359                        
10:56:18.557                  0.3696                        0.0361                        
10:56:18.668                  0.3692                        0.0365                        
10:56:18.793                  0.3686                        0.0369                        
10:56:18.896                  0.3679                        0.0371                        
10:56:19.004                  0.3672                        0.0373                        
10:56:19.116                  0.3668                        0.0373                        
10:56:19.213                  0.3663                        0.0371                        
10:56:19.326                  0.3663                        0.0368                        
10:56:19.436                  0.3665                        0.0366                        
10:56:19.548                  0.367                         0.0364                        
10:56:19.660                  0.3674                        0.0362                        
10:56:19.772                  0.3679                        0.0362                        
10:56:19.884                  0.3682                        0.0362                        
10:56:20.003                  0.3685                        0.0364                        
10:56:20.096                  0.3685                        0.0364                        
10:56:20.205                  0.3685                        0.0362                        
10:56:20.317                  0.3684                        0.0362                        
10:56:20.443                  0.3684                        0.0358                        
10:56:20.540                  0.3684                        0.0355                        
10:56:20.652                  0.3683                        0.0354                        
10:56:20.764                  0.3684                        0.0353                        
10:56:20.876                  0.3683                        0.0353                        
10:56:20.987                  0.3681                        0.0354                        
10:56:21.084                  0.368                         0.0357                        
10:56:21.196                  0.3678                        0.0361                        
10:56:21.308                  0.3677                        0.0363                        
10:56:21.420                  0.3676                        0.0366                        
10:56:21.531                  0.3676                        0.0368                        
10:56:21.643                  0.3677                        0.037                         
10:56:21.755                  0.3678                        0.0371                        
10:56:21.853                  0.3679                        0.0371                        
10:56:21.966                  0.3681                        0.0369                        
10:56:22.076                  0.3683                        0.0369                        
10:56:22.188                  0.3684                        0.0368                        
10:56:22.300                  0.3684                        0.0367                        
10:56:22.416                  0.3685                        0.0365                        
10:56:22.523                  0.3685                        0.0365                        
10:56:22.620                  0.3685                        0.0365                        
10:56:22.732                  0.3684                        0.0366                        
10:56:22.843                  0.3683                        0.0366                        
10:56:22.955                  0.3682                        0.0364                        
10:56:23.067                  0.3682                        0.0364                        
10:56:23.179                  0.368                         0.0363                        
10:56:23.296                  0.3679                        0.0363                        
10:56:23.409                  0.3679                        0.0361                        
10:56:23.500                  0.3678                        0.0361                        
10:56:23.612                  0.3677                        0.0362                        
10:56:23.724                  0.3677                        0.0363                        
