Specimen_AllReader_Record No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   
08:16:43.891                  0                             0                             
08:16:44.883                  0.3598                        0.0156                        
08:16:45.890                  0.3586                        0.0143                        
08:16:46.897                  0.3584                        0.0137                        
08:16:47.905                  0.3591                        0.0146                        
08:16:48.928                  0.3585                        0.0151                        
08:16:49.921                  0.3588                        0.0137                        
08:16:50.943                  0.3588                        0.014                         
08:16:51.951                  0.3585                        0.0144                        
08:16:52.957                  0.3594                        0.0154                        
08:16:53.965                  0.3583                        0.0153                        
08:16:54.973                  0.3597                        0.0145                        
08:16:55.964                  0.3583                        0.014                         
08:16:56.973                  0.3585                        0.0142                        
08:17:02.955                  0.3588                        0.0145                        
08:17:02.984                  0.3587                        0.0146                        
08:17:04.009                  0.3583                        0.0144                        
08:17:04.999                  0.3592                        0.0138                        
08:17:06.006                  0.3589                        0.0142                        
08:17:07.014                  0.3591                        0.0152                        
08:17:08.005                  0.3586                        0.0147                        
08:17:09.013                  0.3591                        0.0144                        
08:17:10.036                  0.3593                        0.0148                        
08:17:11.043                  0.3595                        0.0147                        
08:17:12.051                  0.3588                        0.015                         
08:17:13.058                  0.3593                        0.0146                        
08:17:14.066                  0.3596                        0.0145                        
08:17:15.058                  0.3598                        0.0154                        
08:17:16.081                  0.3585                        0.0151                        
08:17:17.089                  0.3588                        0.0145                        
08:17:18.096                  0.3583                        0.0144                        
08:17:19.120                  0.3576                        0.0148                        
08:17:20.127                  0.3579                        0.0151                        
08:17:21.118                  0.3586                        0.0155                        
08:17:22.142                  0.3591                        0.0145                        
08:17:23.150                  0.3599                        0.0154                        
