Specimen_AllReader_Record1 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   
08:18:56.172                  0.3575                        0.0142                        
08:18:57.161                  0.3583                        0.0137                        
08:18:58.185                  0.3583                        0.0147                        
08:18:59.193                  0.3582                        0.0141                        
08:19:00.184                  0.3589                        0.0149                        
08:19:01.191                  0.3585                        0.0143                        
08:19:02.199                  0.359                         0.0147                        
08:19:03.206                  0.3591                        0.0139                        
08:19:04.214                  0.3599                        0.0151                        
08:19:05.237                  0.3588                        0.0156                        
08:19:06.228                  0.3589                        0.0155                        
08:19:07.237                  0.3581                        0.0147                        
08:19:08.243                  0.3585                        0.0144                        
08:19:09.251                  0.3598                        0.0143                        
08:19:10.258                  0.3597                        0.0146                        
08:19:11.265                  0.3595                        0.0151                        
08:19:12.273                  0.3599                        0.0154                        
08:19:13.296                  0.3598                        0.0152                        
08:19:14.304                  0.3594                        0.0145                        
08:19:15.312                  0.359                         0.0148                        
08:19:16.335                  0.3584                        0.014                         
08:19:17.342                  0.3596                        0.0155                        
