Specimen_AllReader_Record3 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     
13:21:53.245                  3.5174                        -0.4132                       0.299                         
13:21:54.228                  3.5167                        -0.4123                       0.299                         
13:21:55.243                  3.5151                        -0.4124                       0.299                         
13:21:56.232                  3.5153                        -0.4117                       0.299                         
13:21:57.265                  3.5152                        -0.4111                       0.299                         
13:21:58.276                  3.5158                        -0.4124                       0.299                         
13:21:59.273                  3.5149                        -0.4116                       0.3                           
13:21:59.370                  3.5147                        -0.4115                       0.3                           
13:21:59.479                  3.5146                        -0.4115                       0.299                         
13:21:59.591                  3.5146                        -0.4114                       0.299                         
13:21:59.689                  3.5147                        -0.4113                       0.299                         
13:21:59.803                  3.5147                        -0.4113                       0.3                           
13:21:59.913                  3.5148                        -0.4113                       0.3                           
13:21:59.994                  3.515                         -0.4114                       0.3                           
13:22:00.115                  3.5152                        -0.4115                       0.3                           
13:22:00.232                  3.5153                        -0.4117                       0.3                           
13:22:00.346                  3.5153                        -0.412                        0.3                           
13:22:00.408                  3.5151                        -0.4121                       0.3                           
13:22:00.550                  3.5149                        -0.4121                       0.3                           
13:22:00.626                  3.5145                        -0.4121                       0.3                           
13:22:00.728                  3.5144                        -0.4119                       0.299                         
13:22:00.831                  3.5143                        -0.4118                       0.299                         
13:22:00.943                  3.5141                        -0.4115                       0.299                         
13:22:01.063                  3.5141                        -0.4113                       0.3                           
13:22:01.185                  3.5143                        -0.4113                       0.299                         
13:22:01.267                  3.5144                        -0.4113                       0.299                         
13:22:01.379                  3.5144                        -0.4115                       0.3                           
13:22:01.510                  3.5144                        -0.4117                       0.3                           
13:22:01.591                  3.5143                        -0.412                        0.3                           
13:22:01.699                  3.5143                        -0.412                        0.3                           
13:22:01.831                  3.5142                        -0.4121                       0.3                           
13:22:01.906                  3.5142                        -0.412                        0.3                           
13:22:02.023                  3.5142                        -0.4118                       0.3                           
13:22:02.116                  3.5142                        -0.4115                       0.3                           
13:22:02.264                  3.5143                        -0.4111                       0.3                           
13:22:02.342                  3.5143                        -0.4109                       0.3                           
13:22:02.471                  3.5143                        -0.4107                       0.299                         
13:22:02.551                  3.5143                        -0.4105                       0.3                           
13:22:02.658                  3.5144                        -0.4105                       0.3                           
13:22:02.791                  3.5146                        -0.4106                       0.299                         
13:22:02.871                  3.5147                        -0.4107                       0.3                           
13:22:02.983                  3.5149                        -0.4108                       0.3                           
13:22:03.079                  3.5149                        -0.4107                       0.3                           
13:22:03.183                  3.515                         -0.4108                       0.3                           
13:22:03.299                  3.515                         -0.4109                       0.3                           
13:22:03.398                  3.5148                        -0.411                        0.3                           
13:22:03.506                  3.5146                        -0.4113                       0.299                         
13:22:03.654                  3.5144                        -0.4115                       0.3                           
13:22:03.734                  3.5144                        -0.4118                       0.3                           
13:22:03.862                  3.5145                        -0.4122                       0.3                           
13:22:03.969                  3.5146                        -0.4124                       0.299                         
13:22:04.097                  3.5147                        -0.4126                       0.299                         
13:22:04.182                  3.5148                        -0.4126                       0.299                         
