Specimen_AllReader_Record No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     R3 T (N·m),                   
18:13:28.227                  0.3684                        0.0064                        0.278                         0                             
18:13:29.235                  0.3672                        0.0065                        0.278                         0                             
18:13:30.226                  0.3668                        0.0066                        0.278                         0                             
18:13:31.234                  0.3678                        0.0067                        0.278                         0                             
18:13:32.226                  0.3679                        0.0062                        0.278                         0                             
18:13:33.234                  0.368                         0.0061                        0.278                         0                             
18:13:34.241                  0.3678                        0.0068                        0.278                         0                             
18:13:35.233                  0.3673                        0.0066                        0.278                         0                             
18:13:36.273                  0.3676                        0.0063                        0.278                         0                             
18:13:37.249                  0.3668                        0.0071                        0.278                         0                             
18:13:38.272                  0.3687                        0.0066                        0.278                         0                             
18:13:39.280                  0.3685                        0.0072                        0.278                         0                             
18:13:40.271                  0.3667                        0.0075                        0.278                         0                             
18:13:41.311                  0.3687                        0.0064                        0.278                         0                             
18:13:42.287                  0.3686                        0.0065                        0.278                         0                             
18:13:43.294                  0.3674                        0.0076                        0.279                         0                             
18:13:44.319                  0.3682                        0.0075                        0.278                         0                             
18:13:45.327                  
