Specimen_AllReader_Record1 No ,  

Time (h.m.s.ms),              R1 D (cm)                     ID:0 R2 (X)                   ID:0 R2 (Y)                   R3 D (cm)                     R4 T (N·m),                   
18:14:33.455                  0                             0.3679                        0.0075                        0.278                         0                             
18:14:33.567                  0                             0.3681                        0.0074                        0.278                         0                             
18:14:34.607                  0                             0.3678                        0.007                         0.278                         0                             
18:14:35.583                  0                             0.3682                        0.0052                        0.278                         0                             
18:14:36.606                  0                             0.3686                        0.0077                        0.278                         0                             
18:14:37.614                  0                             0.368                         0.0065                        0.278                         0                             
18:14:38.622                  0                             0.368                         0.006                         0.278                         0                             
18:14:39.646                  0                             0.3678                        0.0069                        0.419                         0                             
18:14:40.653                  0                             0.3678                        0.0074                        3.867                         0                             
18:14:41.629                  0                             0.3695                        0.0072                        0.278                         0                             
18:14:42.684                  0                             0.3677                        0.0069                        0.278                         0                             
18:14:43.660                  0                             0.3692                        0.0067                        0.278                         0                             
18:14:44.668                  0                             0.3681                        0.0063                        0.278                         0                             
18:14:45.691                  0                             0.367                         0.0068                        0.279                         0                             
18:14:46.700                  0                             0.3683                        0.0069                        0.278                         0                             
18:14:47.692                  0                             0.3686                        0.0074                        0.278                         0                             
18:14:48.699                  0                             0.369                         0.0064                        0.278                         0                             
18:14:49.739                  0                             0.3689                        0.0068                        0.278                         0                             
18:14:50.715                  0                             0.3691                        0.0071                        0.278                         0                             
18:14:51.738                  0                             0.3688                        0.0067                        0.279                         0                             
18:14:51.835                  0                             0.3688                        0.007                         0.278                         0                             
18:14:51.978                  0                             0.3686                        0.0072                        0.278                         0                             
18:14:52.090                  0                             0.3684                        0.0076                        0.278                         0                             
18:14:52.219                  0                             0.3681                        0.0077                        0.278                         0                             
18:14:52.330                  0                             0.3679                        0.0076                        0.278                         0                             
18:14:52.458                  0                             0.3679                        0.0075                        0.278                         0                             
18:14:52.570                  0                             0.368                         0.0073                        0.278                         0                             
18:14:52.683                  0                             0.3681                        0.007                         0.279                         0                             
18:14:52.810                  0                             0.368                         0.0068                        0.278                         0                             
18:14:52.922                  0                             0.3682                        0.0067                        0.278                         0                             
18:14:53.049                  0                             0.3683                        0.0066                        0.278                         0                             
18:14:53.161                  0                             0.3684                        0.0066                        0.278                         0                             
18:14:53.258                  0                             0.3685                        0.0066                        0.278                         0                             
18:14:53.401                  0                             0.3686                        0.0067                        0.278                         0                             
18:14:53.529                  0                             0.3688                        0.007                         0.278                         0                             
