Specimen_AllReader_Record2 No ,  

Time (h.m.s.ms),              ID:0 R1 (X)                   ID:0 R1 (Y)                   R2 D (cm)                     R3 T (N·m),                   
14:38:31.798                  0.3638                        0.0036                        0.278                         0                             
14:38:32.805                  0.3642                        0.0032                        0.278                         0                             
14:38:33.821                  0.3641                        0.0037                        0.277                         0                             
14:38:34.835                  0.3642                        0.0033                        0.277                         0                             
14:38:35.805                  0.3638                        0.0042                        0.277                         0                             
14:38:36.835                  0.3647                        0.0037                        0.278                         0                             
14:38:37.836                  0.3638                        0.0037                        0.278                         0                             
14:38:38.846                  0.3628                        0.0027                        0.278                         0                             
14:38:39.868                  0.3639                        0.003                         0.278                         0                             
14:38:40.849                  0.3647                        0.0043                        0.278                         0                             
14:38:41.869                  0.3644                        0.004                         0.277                         0                             
14:38:42.879                  0.3645                        0.0044                        0.277                         0                             
14:38:43.887                  0.3634                        0.0023                        0.277                         0                             
14:38:44.907                  0.3639                        0.0029                        0.277                         0                             
14:38:45.879                  0.3636                        0.0027                        0.277                         0                             
14:38:46.889                  0.3647                        0.0036                        0.277                         0                             
14:38:47.911                  0.3645                        0.0043                        0.277                         0                             
14:38:48.955                  0.3632                        0.0034                        0.277                         0                             
