Specimen_AllReader_Record4 No ,  

Time (h.m.s.ms),              ID:2 R1 (X)                   ID:2 R1 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
12:50:24.343                  6.3677                        1.1641                        -1.5461                       -17.6281                      0.9054                        -17.3134                      -0.8116                       -43.6664                      0                             0.3                           
12:50:25.340                  6.3564                        1.1593                        -1.5455                       -17.627                       0.906                         -17.3144                      -0.7887                       -43.6512                      0                             0.3                           
12:50:26.340                  6.3452                        1.1521                        -1.5447                       -17.6282                      0.9067                        -17.3124                      -0.7612                       -43.6364                      0                             0.3                           
12:50:27.347                  6.335                         1.1474                        -1.5449                       -17.6262                      0.9067                        -17.3129                      -0.7336                       -43.6191                      0                             0.3                           
12:50:28.347                  6.3257                        1.1414                        -1.545                        -17.6272                      0.9062                        -17.3136                      -0.7034                       -43.6014                      0                             0.3                           
12:50:29.377                  6.3141                        1.1364                        -1.5452                       -17.627                       0.9041                        -17.3136                      -0.6787                       -43.5868                      0                             0.3                           
12:50:30.347                  6.3058                        1.132                         -1.5455                       -17.6267                      0.9062                        -17.3146                      -0.6533                       -43.5743                      0                             0.3                           
12:50:31.377                  6.2978                        1.1274                        -1.5453                       -17.6257                      0.9072                        -17.3139                      -0.6336                       -43.5609                      0                             0.3                           
12:50:32.377                  6.29                          1.1219                        -1.5434                       -17.6259                      0.9068                        -17.3137                      -0.6121                       -43.5496                      0                             0.3                           
12:50:33.407                  6.2801                        1.1192                        -1.5438                       -17.6268                      0.9045                        -17.3149                      -0.5902                       -43.5379                      0                             0.301                         
12:50:34.407                  6.2739                        1.1158                        -1.5445                       -17.6264                      0.9055                        -17.3146                      -0.5693                       -43.5241                      0                             0.3                           
12:50:35.417                  6.2678                        1.1116                        -1.5437                       -17.6252                      0.9053                        -17.3145                      -0.5492                       -43.5122                      0                             0.3                           
