Specimen_AllReader_Record5 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   ID:2 R2 (X)                   ID:2 R2 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:6 R4 (X)                   ID:6 R4 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
13:16:14.779                  0                             0                             5.5257                        0.6551                        -1.537                        -17.5513                      1.7623                        -0.5357                       0.4662                        -1.7497                       0.6704                        -3.6379                       0                             0.3                           
13:16:15.786                  3.6145                        -0.4306                       5.5247                        0.6537                        -1.5375                       -17.5508                      1.7616                        -0.5349                       0.4667                        -1.7498                       0.6705                        -3.6393                       0                             0.3                           
13:16:16.806                  3.6133                        -0.4308                       5.5248                        0.6538                        -1.5391                       -17.5509                      1.7617                        -0.5353                       0.4666                        -1.7497                       0.6706                        -3.639                        0                             0.3                           
13:16:17.816                  3.614                         -0.4319                       5.5241                        0.6532                        -1.5373                       -17.5516                      1.7626                        -0.5352                       0.4672                        -1.7495                       0.6706                        -3.6388                       0                             0.3                           
13:16:18.835                  3.6139                        -0.4302                       5.5254                        0.6544                        -1.5381                       -17.551                       1.7612                        -0.536                        0.4662                        -1.7483                       0.6698                        -3.6386                       0                             0.3                           
13:16:19.845                  3.6131                        -0.431                        5.5248                        0.6529                        -1.5378                       -17.5512                      1.7628                        -0.5344                       0.4671                        -1.7494                       0.6705                        -3.6376                       0                             0.3                           
13:16:20.835                  3.6128                        -0.4309                       5.5253                        0.6518                        -1.5364                       -17.5502                      1.7613                        -0.5347                       0.4669                        -1.7493                       0.6706                        -3.6379                       0                             0.3                           
13:16:21.846                  3.6121                        -0.4314                       5.5237                        0.6536                        -1.5387                       -17.5523                      1.7609                        -0.5348                       0.4678                        -1.7499                       0.6711                        -3.6378                       0                             0.3                           
13:16:22.876                  3.6132                        -0.4313                       5.5245                        0.6534                        -1.5378                       -17.5506                      1.7616                        -0.5334                       0.4671                        -1.7495                       0.6702                        -3.6381                       0                             0.3                           
13:16:23.876                  3.6112                        -0.4307                       5.524                         0.654                         -1.5371                       -17.5511                      1.7617                        -0.5352                       0.4665                        -1.7496                       0.6704                        -3.637                        0                             0.3                           
13:16:24.880                  3.6114                        -0.4314                       5.5231                        0.6538                        -1.5377                       -17.5518                      1.7617                        -0.534                        0.4679                        -1.7499                       0.6704                        -3.6375                       0                             0.3                           
13:16:25.892                  3.6113                        -0.4306                       5.5248                        0.6534                        -1.5381                       -17.5502                      1.7608                        -0.5357                       0.4665                        -1.7493                       0.6699                        -3.6367                       0                             0.299                         
13:16:26.907                  3.6106                        -0.43                         5.5244                        0.6534                        -1.5379                       -17.5495                      1.7611                        -0.5348                       0.4666                        -1.7496                       0.6704                        -3.6378                       0                             0.3                           
13:16:27.897                  3.6119                        -0.4301                       5.5255                        0.6544                        -1.5365                       -17.5503                      1.7624                        -0.5358                       0.467                         -1.7488                       0.6698                        -3.637                        0                             0.3                           
13:16:28.907                  3.6127                        -0.4298                       5.5261                        0.6535                        -1.5358                       -17.5488                      1.7623                        -0.5364                       0.4676                        -1.7495                       0.6696                        -3.6374                       0                             0.3                           
13:16:29.917                  3.6118                        -0.4296                       5.5257                        0.6541                        -1.5355                       -17.5492                      1.7628                        -0.5366                       0.468                         -1.7493                       0.6694                        -3.6377                       0                             0.3                           
13:16:30.937                  3.6102                        -0.4304                       5.5225                        0.6529                        -1.5374                       -17.5499                      1.7611                        -0.5352                       0.4673                        -1.7492                       0.6701                        -3.6367                       0                             0.3                           
13:16:31.947                  3.6101                        -0.4313                       5.5211                        0.6526                        -1.538                        -17.5506                      1.7612                        -0.5343                       0.4675                        -1.7488                       0.6714                        -3.6384                       0                             0.3                           
13:16:32.967                  3.6088                        -0.4302                       5.5224                        0.6516                        -1.5378                       -17.5514                      1.7615                        -0.5342                       0.4662                        -1.7499                       0.6699                        -3.6375                       0                             0.3                           
13:16:33.977                  3.6075                        -0.4306                       5.5219                        0.6516                        -1.5371                       -17.5508                      1.7606                        -0.5351                       0.4668                        -1.7498                       0.6705                        -3.6367                       0                             0.3                           
13:16:34.967                  3.6081                        -0.4301                       5.5222                        0.6527                        -1.5387                       -17.5508                      1.7603                        -0.5358                       0.4672                        -1.7488                       0.6696                        -3.6361                       0                             0.3                           
13:16:35.977                  3.6075                        -0.4308                       5.5217                        0.6524                        -1.5395                       -17.5499                      1.7613                        -0.5345                       0.4673                        -1.749                        0.67                          -3.6366                       0                             0.3                           
13:16:36.987                  3.6072                        -0.4303                       5.5213                        0.6522                        -1.5378                       -17.5504                      1.7601                        -0.5349                       0.4672                        -1.7493                       0.6709                        -3.6366                       0                             0.3                           
13:16:38.007                  3.6071                        -0.4304                       5.5225                        0.6515                        -1.5381                       -17.551                       1.7608                        -0.5349                       0.4679                        -1.7491                       0.6692                        -3.6363                       0                             0.3                           
13:16:39.016                  3.608                         -0.4298                       5.5197                        0.6521                        -1.537                        -17.5496                      1.7607                        -0.5345                       0.467                         -1.7479                       0.6697                        -3.6363                       0                             0.3                           
13:16:40.026                  3.6064                        -0.431                        5.5191                        0.6498                        -1.5376                       -17.5504                      1.7606                        -0.5338                       0.4674                        -1.7491                       0.6699                        -3.6358                       0                             0.299                         
13:16:41.046                  3.6087                        -0.4293                       5.5195                        0.6514                        -1.5368                       -17.5495                      1.7605                        -0.5358                       0.4683                        -1.7495                       0.6701                        -3.636                        0                             0.299                         
13:16:42.016                  3.6086                        -0.4303                       5.5175                        0.6516                        -1.5363                       -17.5494                      1.7616                        -0.5354                       0.4671                        -1.7489                       0.6699                        -3.6364                       0                             0.3                           
13:16:43.046                  3.6063                        -0.4297                       5.5175                        0.6498                        -1.536                        -17.5499                      1.7608                        -0.5356                       0.4668                        -1.7477                       0.6697                        -3.6355                       0                             0.299                         
13:16:44.046                  3.6048                        -0.4303                       5.5168                        0.6492                        -1.5381                       -17.5502                      1.7595                        -0.5352                       0.4669                        -1.7492                       0.6705                        -3.6373                       0                             0.3                           
13:16:45.076                  3.6046                        -0.4293                       5.515                         0.6478                        -1.5372                       -17.5506                      1.7602                        -0.5342                       0.4662                        -1.7485                       0.6701                        -3.6356                       0                             0.3                           
13:16:46.087                  3.6037                        -0.4294                       5.5149                        0.6468                        -1.5381                       -17.5493                      1.7602                        -0.5364                       0.4672                        -1.7494                       0.6709                        -3.6369                       0                             0.299                         
13:16:47.072                  3.6042                        -0.4296                       5.5157                        0.6479                        -1.5379                       -17.5498                      1.7607                        -0.5339                       0.4668                        -1.7481                       0.6709                        -3.6358                       0                             0.3                           
13:16:48.084                  3.6042                        -0.43                         5.5165                        0.6481                        -1.5377                       -17.5501                      1.7596                        -0.5346                       0.4676                        -1.7492                       0.6694                        -3.6361                       0                             0.3                           
13:16:49.093                  3.6025                        -0.4285                       5.5152                        0.6479                        -1.5374                       -17.5497                      1.7601                        -0.5352                       0.4672                        -1.7494                       0.6702                        -3.635                        0                             0.3                           
13:16:50.107                  3.6013                        -0.4289                       5.5128                        0.6464                        -1.5372                       -17.5489                      1.7591                        -0.5345                       0.4666                        -1.7494                       0.6691                        -3.636                        0                             0.3                           
