Specimen_AllReader_Record7 No ,  

Time (h.m.s.ms),              ID:2 R1 (X)                   ID:2 R1 (Y)                   R2 D (cm)                     ID:3 R3 (X)                   ID:3 R3 (Y)                   R4 T (N��m),                  ID:4 R5 (X)                   ID:4 R5 (Y)                   ID:6 R6 (X)                   ID:6 R6 (Y)                   ID:7 R7 (X)                   ID:7 R7 (Y)                   ID:8 R8 (X)                   ID:8 R8 (Y)                   
14:03:36.802                  5.151                         0.5211                        0.298                         2.9711                        -0.3317                       0                             -1.5671                       -17.4825                      1.5823                        -2.4777                       0.4982                        -1.6746                       0.6741                        -3.5395                       
14:03:37.811                  5.1509                        0.5227                        0.298                         2.9702                        -0.3304                       0                             -1.5664                       -17.483                       1.5831                        -2.477                        0.4986                        -1.6733                       0.6743                        -3.5391                       
14:03:38.799                  5.1512                        0.5235                        0.298                         2.9706                        -0.3299                       0                             -1.5662                       -17.4826                      1.5838                        -2.4757                       0.4999                        -1.6744                       0.6747                        -3.5395                       
14:03:39.809                  5.151                         0.5214                        0.298                         2.9693                        -0.3307                       0                             -1.5674                       -17.4833                      1.5817                        -2.476                        0.4983                        -1.6743                       0.6746                        -3.5395                       
14:03:40.819                  5.1512                        0.5221                        0.298                         2.9705                        -0.3302                       0                             -1.567                        -17.4823                      1.5823                        -2.475                        0.499                         -1.6751                       0.675                         -3.5399                       
14:03:41.838                  5.1513                        0.5229                        0.298                         2.9691                        -0.3307                       0                             -1.5669                       -17.4841                      1.5818                        -2.4729                       0.4975                        -1.6734                       0.6753                        -3.5402                       
14:03:42.848                  5.1517                        0.5221                        0.298                         2.9695                        -0.3299                       0                             -1.5673                       -17.483                       1.5815                        -2.4735                       0.4998                        -1.6744                       0.675                         -3.5404                       
14:03:43.868                  5.1524                        0.5222                        0.298                         2.9689                        -0.3308                       0                             -1.5668                       -17.4842                      1.5823                        -2.4735                       0.4991                        -1.674                        0.6755                        -3.5404                       
14:03:44.878                  5.1505                        0.5226                        0.298                         2.9689                        -0.3317                       0                             -1.5673                       -17.4837                      1.5822                        -2.4735                       0.4992                        -1.6734                       0.6743                        -3.5397                       
14:03:45.868                  5.151                         0.5216                        0.298                         2.9689                        -0.3308                       0                             -1.5672                       -17.4834                      1.5815                        -2.4741                       0.5005                        -1.6744                       0.6747                        -3.5399                       
14:03:46.878                  5.1506                        0.5206                        0.298                         2.97                          -0.331                        0                             -1.5671                       -17.4845                      1.5811                        -2.4739                       0.4985                        -1.6747                       0.6746                        -3.54                         
14:03:47.878                  5.1507                        0.5225                        0.298                         2.9683                        -0.3306                       0                             -1.5673                       -17.4829                      1.5813                        -2.4723                       0.5                           -1.6737                       0.6744                        -3.54                         
14:03:48.908                  5.1508                        0.5217                        0.298                         2.9691                        -0.3309                       0                             -1.5666                       -17.4838                      1.5808                        -2.4717                       0.4994                        -1.6751                       0.6747                        -3.5398                       
