Specimen_AllReader_Record8 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     R3 T (N��m),                  ID:2 R4 (X)                   ID:2 R4 (Y)                   ID:4 R5 (X)                   ID:4 R5 (Y)                   ID:6 R6 (X)                   ID:6 R6 (Y)                   ID:7 R7 (X)                   ID:7 R7 (Y)                   ID:8 R8 (X)                   ID:8 R8 (Y)                   
15:32:07.010                  0.9634                        -0.4564                       0.299                         0                             2.6559                        0.7037                        -1.6934                       -16.8215                      1.467                         -0.7805                       0.4819                        -1.618                        0.6678                        -3.4422                       
15:32:08.012                  0.9638                        -0.4561                       0.299                         0                             2.6561                        0.7035                        -1.6939                       -16.8214                      1.4673                        -0.7801                       0.4819                        -1.6187                       0.6675                        -3.4423                       
15:32:09.036                  0.9618                        -0.4571                       0.299                         0                             2.6559                        0.7035                        -1.6946                       -16.8209                      1.4673                        -0.7804                       0.4817                        -1.6189                       0.6688                        -3.4423                       
15:32:10.044                  0.9614                        -0.4573                       0.299                         0                             2.655                         0.7035                        -1.6951                       -16.8216                      1.466                         -0.7805                       0.4817                        -1.618                        0.6686                        -3.4418                       
15:32:11.037                  0.9618                        -0.457                        0.299                         0                             2.6556                        0.7025                        -1.6939                       -16.8212                      1.4651                        -0.7807                       0.4828                        -1.6179                       0.6693                        -3.4424                       
15:32:12.046                  0.9611                        -0.4572                       0.299                         0                             2.6559                        0.7025                        -1.6943                       -16.8209                      1.466                         -0.7815                       0.4827                        -1.6182                       0.6688                        -3.4412                       
15:32:13.054                  0.9608                        -0.4567                       0.298                         0                             2.6554                        0.7032                        -1.6944                       -16.8214                      1.4664                        -0.7798                       0.4822                        -1.6176                       0.6682                        -3.4416                       
15:32:14.071                  0.9602                        -0.4567                       0.299                         0                             2.6555                        0.7028                        -1.6947                       -16.8214                      1.4663                        -0.7803                       0.4811                        -1.6194                       0.6682                        -3.4416                       
15:32:15.079                  0.9619                        -0.4571                       0.299                         0                             2.6554                        0.7019                        -1.6943                       -16.8216                      1.466                         -0.7793                       0.4819                        -1.6176                       0.6681                        -3.4417                       
15:32:16.103                  0.9624                        -0.4571                       0.299                         0                             2.6547                        0.7025                        -1.6946                       -16.8209                      1.4657                        -0.7792                       0.4824                        -1.6185                       0.6697                        -3.4419                       
15:32:17.110                  0.9617                        -0.4569                       0.299                         0                             2.6544                        0.7023                        -1.6942                       -16.8207                      1.4664                        -0.7798                       0.4812                        -1.6178                       0.669                         -3.4412                       
15:32:18.102                  0.9623                        -0.4561                       0.299                         0                             2.6547                        0.7031                        -1.6952                       -16.8206                      1.4671                        -0.7807                       0.4819                        -1.6175                       0.6688                        -3.4426                       
15:32:19.142                  0.9622                        -0.4568                       0.298                         0                             2.6552                        0.7028                        -1.6953                       -16.8206                      1.4648                        -0.7798                       0.4821                        -1.6185                       0.6686                        -3.442                        
15:32:20.150                  0.9608                        -0.4561                       0.299                         0                             2.6547                        0.702                         -1.694                        -16.8208                      1.4669                        -0.7796                       0.4826                        -1.6178                       0.6687                        -3.4418                       
15:32:21.143                  0.9615                        -0.4569                       0.299                         0                             2.6537                        0.7011                        -1.6943                       -16.8215                      1.4663                        -0.7785                       0.4808                        -1.6181                       0.6686                        -3.4415                       
15:32:22.144                  0.9618                        -0.4559                       0.298                         0                             2.6538                        0.7034                        -1.6943                       -16.8206                      1.4661                        -0.7799                       0.4828                        -1.6192                       0.6682                        -3.4422                       
15:32:23.152                  0.9612                        -0.4563                       0.298                         0                             2.6548                        0.7023                        -1.6944                       -16.8206                      1.4659                        -0.7792                       0.4816                        -1.6185                       0.6686                        -3.4419                       
15:32:24.176                  0.9611                        -0.4572                       0.299                         0                             2.6545                        0.7021                        -1.6941                       -16.8221                      1.4657                        -0.7796                       0.4822                        -1.6179                       0.669                         -3.4423                       
15:32:25.185                  0.9625                        -0.4558                       0.298                         0                             2.6556                        0.7032                        -1.6939                       -16.8205                      1.4654                        -0.7804                       0.4811                        -1.618                        0.6689                        -3.4425                       
15:32:26.178                  0.9606                        -0.4566                       0.298                         0                             2.6548                        0.703                         -1.6943                       -16.8208                      1.4665                        -0.7797                       0.4826                        -1.6177                       0.6687                        -3.4418                       
15:32:27.187                  0.9612                        -0.457                        0.298                         0                             2.6541                        0.7033                        -1.695                        -16.8217                      1.4653                        -0.7794                       0.4821                        -1.6189                       0.668                         -3.4417                       
15:32:28.195                  0.9609                        -0.456                        0.299                         0                             2.6553                        0.7026                        -1.6944                       -16.8218                      1.4672                        -0.7797                       0.4816                        -1.6174                       0.6684                        -3.4404                       
15:32:29.211                  0.9616                        -0.4563                       0.299                         0                             2.6543                        0.702                         -1.6944                       -16.821                       1.4659                        -0.779                        0.4811                        -1.6172                       0.6684                        -3.4421                       
15:32:30.191                  0.9617                        -0.4569                       0.299                         0                             2.6544                        0.7026                        -1.6937                       -16.8214                      1.4656                        -0.7793                       0.4823                        -1.618                        0.6693                        -3.4413                       
15:32:31.246                  0.9611                        -0.4558                       0.298                         0                             2.6552                        0.703                         -1.6943                       -16.821                       1.465                         -0.7803                       0.4821                        -1.6173                       0.6684                        -3.4425                       
15:32:32.254                  0.9606                        -0.4565                       0.298                         0                             2.6546                        0.7028                        -1.6938                       -16.822                       1.4658                        -0.781                        0.4815                        -1.6182                       0.6683                        -3.4421                       
15:32:33.262                  0.961                         -0.4555                       0.299                         0                             2.6549                        0.7029                        -1.6947                       -16.8209                      1.4669                        -0.7789                       0.4817                        -1.6187                       0.6684                        -3.4421                       
15:32:34.286                  0.9613                        -0.4563                       0.298                         0                             2.6548                        0.7017                        -1.6937                       -16.823                       1.4665                        -0.7805                       0.4819                        -1.6187                       0.6693                        -3.4418                       
15:32:35.294                  0.9612                        -0.457                        0.298                         0                             2.6543                        0.7027                        -1.6935                       -16.8225                      1.4659                        -0.7783                       0.481                         -1.6181                       0.6683                        -3.4418                       
15:32:36.279                  0.9619                        -0.4569                       0.299                         0                             2.6545                        0.703                         -1.6939                       -16.822                       1.4668                        -0.7786                       0.4819                        -1.619                        0.6675                        -3.4422                       
15:32:37.290                  0.9612                        -0.457                        0.299                         0                             2.6553                        0.7024                        -1.6943                       -16.8213                      1.4667                        -0.7788                       0.482                         -1.6187                       0.6695                        -3.4415                       
15:32:38.314                  0.9612                        -0.4565                       0.299                         0                             2.6547                        0.7026                        -1.6936                       -16.8212                      1.4671                        -0.7795                       0.481                         -1.6184                       0.6699                        -3.4418                       
15:32:39.322                  0.9609                        -0.4569                       0.299                         0                             2.6533                        0.7022                        -1.6953                       -16.8208                      1.4657                        -0.7796                       0.4808                        -1.6176                       0.6696                        -3.4418                       
15:32:40.330                  0.9606                        -0.4563                       0.299                         0                             2.6543                        0.7017                        -1.6957                       -16.8218                      1.4662                        -0.7792                       0.4827                        -1.6188                       0.6686                        -3.4415                       
15:32:41.354                  0.9612                        -0.4572                       0.299                         0                             2.6536                        0.7018                        -1.6939                       -16.8226                      1.4669                        -0.78                         0.4823                        -1.6176                       0.669                         -3.4418                       
15:32:42.361                  0.9601                        -0.4556                       0.298                         0                             2.6541                        0.7005                        -1.6952                       -16.8214                      1.4658                        -0.7803                       0.4815                        -1.619                        0.6682                        -3.4418                       
15:32:43.369                  0.9606                        -0.4564                       0.298                         0                             2.6542                        0.7035                        -1.6947                       -16.8216                      1.4659                        -0.7804                       0.4812                        -1.6176                       0.6682                        -3.4418                       
15:32:44.393                  0.9605                        -0.4564                       0.299                         0                             2.654                         0.702                         -1.6941                       -16.8217                      1.4657                        -0.7789                       0.4818                        -1.6195                       0.6676                        -3.4418                       
15:32:45.367                  0.9606                        -0.4564                       0.299                         0                             2.655                         0.702                         -1.6948                       -16.8209                      1.466                         -0.7801                       0.4817                        -1.6174                       0.669                         -3.4421                       
15:32:46.392                  0.9595                        -0.4568                       0.298                         0                             2.6537                        0.703                         -1.6954                       -16.8209                      1.4658                        -0.7799                       0.4812                        -1.6188                       0.6685                        -3.4411                       
15:32:47.398                  0.9601                        -0.4573                       0.299                         0                             2.6534                        0.7025                        -1.6945                       -16.8218                      1.4659                        -0.7793                       0.4817                        -1.6183                       0.6687                        -3.4419                       
15:32:48.422                  0.9609                        -0.4555                       0.298                         0                             2.6542                        0.7031                        -1.6946                       -16.8203                      1.466                         -0.7794                       0.4821                        -1.6171                       0.6684                        -3.4417                       
15:32:49.428                  0.9606                        -0.4568                       0.298                         0                             2.6547                        0.7014                        -1.6943                       -16.8213                      1.4668                        -0.7793                       0.4825                        -1.6186                       0.6683                        -3.4423                       
15:32:50.420                  0.9611                        -0.4561                       0.299                         0                             2.6541                        0.7016                        -1.6939                       -16.8202                      1.4662                        -0.7785                       0.4809                        -1.6182                       0.6683                        -3.4423                       
15:32:51.428                  0.961                         -0.456                        0.299                         0                             2.6537                        0.7021                        -1.6951                       -16.8219                      1.4664                        -0.7779                       0.482                         -1.6175                       0.669                         -3.4422                       
15:32:52.435                  0.9609                        -0.4562                       0.298                         0                             2.6541                        0.7021                        -1.6943                       -16.8209                      1.466                         -0.7792                       0.4823                        -1.6193                       0.669                         -3.4419                       
